Severity,Rule,File,Line,Type,Message
MAJOR,githubactions:S7637,.github/workflows/devsecops-pipeline.yml,55,VULNERABILITY,Use full commit SHA hash for this dependency.
MAJOR,githubactions:S6506,.github/workflows/devsecops-pipeline.yml,20,VULNERABILITY,Not enforcing HTTPS here might allow for redirections to insecure websites. Make sure it is safe here.
MAJOR,kubernetes:S6596,infra/kubernetes/base/auth-service.yaml,20,CODE_SMELL,"Use a specific version tag for the image instead of ""latest""."
MAJOR,kubernetes:S6428,infra/kubernetes/base/auth-service.yaml,40,VULNERABILITY,Ensure that enabling privileged mode is safe here.
MAJOR,kubernetes:S6430,infra/kubernetes/base/auth-service.yaml,41,VULNERABILITY,Make sure that enabling privilege escalation is safe here.
MINOR,kubernetes:S5332,infra/kubernetes/base/configmap.yaml,13,VULNERABILITY,Make sure that using clear-text protocols is safe here.
MINOR,kubernetes:S5332,infra/kubernetes/base/configmap.yaml,14,VULNERABILITY,Make sure that using clear-text protocols is safe here.
MAJOR,kubernetes:S6596,infra/kubernetes/base/frontend.yaml,18,CODE_SMELL,"Use a specific version tag for the image instead of ""latest""."
MAJOR,kubernetes:S6428,infra/kubernetes/base/frontend.yaml,25,VULNERABILITY,Ensure that enabling privileged mode is safe here.
MAJOR,kubernetes:S6430,infra/kubernetes/base/frontend.yaml,26,VULNERABILITY,Make sure that enabling privilege escalation is safe here.
MAJOR,kubernetes:S6596,infra/kubernetes/base/transaction-service.yaml,18,CODE_SMELL,"Use a specific version tag for the image instead of ""latest""."
MAJOR,kubernetes:S6428,infra/kubernetes/base/transaction-service.yaml,37,VULNERABILITY,Ensure that enabling privileged mode is safe here.
MAJOR,kubernetes:S6430,infra/kubernetes/base/transaction-service.yaml,38,VULNERABILITY,Make sure that enabling privilege escalation is safe here.
BLOCKER,terraform:S6302,infra/terraform/modules/iam/main.tf,52,VULNERABILITY,Make sure granting all privileges is safe here.
MAJOR,terraform:S6364,infra/terraform/modules/rds/main.tf,35,VULNERABILITY,"Omitting ""backup_retention_period"" results in a short backup retention duration. Make sure it is safe here."
BLOCKER,terraform:S8793,infra/terraform/modules/rds/main.tf,46,VULNERABILITY,Make sure allowing public network access is safe here.
MAJOR,terraform:S6303,infra/terraform/modules/rds/main.tf,47,VULNERABILITY,Make sure that using unencrypted RDS DB Instances is safe here.
MAJOR,terraform:S6364,infra/terraform/modules/rds/main.tf,55,VULNERABILITY,"Omitting ""backup_retention_period"" results in a short backup retention duration. Make sure it is safe here."
BLOCKER,terraform:S8793,infra/terraform/modules/rds/main.tf,66,VULNERABILITY,Make sure allowing public network access is safe here.
MAJOR,terraform:S6303,infra/terraform/modules/rds/main.tf,67,VULNERABILITY,Make sure that using unencrypted RDS DB Instances is safe here.
